,distance,cab_type,time_stamp,destination,source,price,surge_multiplier,id,product_id,name,date,location,temp,clouds,pressure,rain,humidity,wind
0,0.44,Lyft,1544952607890,North Station,Haymarket Square,5.0,1.0,424553bb-7174-41ea-aeb4-fe06d4f4b9d7,lyft_line,Shared,December 16 2018,Haymarket Square,42.42,1.0,1012.14,0.1228,0.77,11.25
1,0.44,Lyft,1543284023677,North Station,Haymarket Square,11.0,1.0,4bd23055-6827-41c6-b23b-3c491f24e74d,lyft_premier,Lux,December 16 2018,Haymarket Square,42.43,1.0,1012.15,0.1846,0.76,11.32
2,0.44,Lyft,1543366822198,North Station,Haymarket Square,7.0,1.0,981a3613-77af-4620-a42a-0c0866077d1e,lyft,Lyft,December 16 2018,Haymarket Square,42.5,1.0,1012.15,0.1089,0.76,11.07
3,0.44,Lyft,1543553582749,North Station,Haymarket Square,26.0,1.0,c2d88af2-d278-4bfd-a8d0-29ca77cc5512,lyft_luxsuv,Lux Black XL,December 16 2018,Haymarket Square,42.11,1.0,1012.13,0.0969,0.77,11.09
4,0.44,Lyft,1543463360223,North Station,Haymarket Square,9.0,1.0,e0126e1f-8ca9-4f2e-82b3-50505a09db9a,lyft_plus,Lyft XL,December 16 2018,Haymarket Square,43.13,1.0,1012.14,0.1786,0.75,11.49
5,0.44,Lyft,1545071112138,North Station,Haymarket Square,16.5,1.0,f6f6d7e4-3e18-4922-a5f5-181cdd3fa6f2,lyft_lux,Lux Black,December 16 2018,Haymarket Square,42.34,1.0,1012.15,0.2068,0.77,11.49
6,1.08,Lyft,1543208580200,Northeastern University,Back Bay,10.5,1.0,462816a3-820d-408b-8549-0b39e82f65ac,lyft_plus,Lyft XL,December 16 2018,Back Bay,42.36,1.0,1012.15,0.2088,0.77,11.46
7,1.08,Lyft,1543780384677,Northeastern University,Back Bay,16.5,1.0,474d6376-bc59-4ec9-bf57-4e6d6faeb165,lyft_lux,Lux Black,December 16 2018,Back Bay,42.21,1.0,1012.16,0.2069,0.77,11.37
8,1.08,Lyft,1543818482645,Northeastern University,Back Bay,3.0,1.0,4f9fee41-fde3-4767-bbf1-a00e108701fb,lyft_line,Shared,December 16 2018,Back Bay,42.07,1.0,1012.12,0.102,0.78,11.28
9,1.08,Lyft,1543315522249,Northeastern University,Back Bay,27.5,1.0,8612d909-98b8-4454-a093-30bd48de0cb3,lyft_luxsuv,Lux Black XL,December 16 2018,Back Bay,43.05,1.0,1012.12,0.1547,0.75,11.58
10,1.08,Lyft,1543594383882,Northeastern University,Back Bay,13.5,1.0,9043bf77-1d45-4a93-9520-a083e0277f16,lyft_premier,Lux,December 16 2018,Back Bay,42.09,1.0,1012.13,0.1428,0.78,11.41
11,1.08,Lyft,1543432987778,Northeastern University,Back Bay,7.0,1.0,d859ec69-b3ff-4af8-9abd-441e31430c94,lyft,Lyft,November 27 2018,Back Bay,43.28,0.81,990.81,,0.71,8.3
12,1.11,Uber,1543615981179,West End,North End,12.0,1.0,009e9c53-074d-43cf-aef2-0fbc7a47ed3d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,November 27 2018,North End,43.27,0.8,990.8,,0.71,8.3
13,1.11,Uber,1544698211014,West End,North End,16.0,1.0,23f145da-f0c1-4d1f-a184-496bc003a7db,6c84fd89-3f11-4782-9b50-97c468b19529,Black,November 27 2018,North End,43.35,0.82,990.82,,0.71,8.24
14,1.11,Uber,1544728503935,West End,North End,7.5,1.0,357559cb-8c58-4278-a41a-e33b2e0997a3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,November 27 2018,North End,43.07,0.82,990.82,,0.72,8.28
15,1.11,Uber,1545004511430,West End,North End,7.5,1.0,50ef1165-9d23-416c-a65c-18906207b295,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,November 27 2018,North End,43.35,0.8,990.8,,0.71,8.35
16,1.11,Uber,1544748007961,West End,North End,26.0,1.0,91c4861c-1780-42b0-bca1-bbd64a422cc3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,November 27 2018,North End,43.2,0.8,990.79,,0.71,8.31
17,1.11,Uber,1543519080802,West End,North End,5.5,1.0,e219e545-a006-4936-a6cc-7d00adf0e418,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,November 27 2018,North End,43.24,0.8,990.79,,0.71,8.32
18,1.11,Uber,1543673584211,West End,North End,,1.0,fa5fb705-03a0-4eb9-82d9-7fe80872f754,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,November 27 2018,North End,41.95,0.81,991.63,,0.73,10.87
19,0.72,Lyft,1544940911553,Haymarket Square,North Station,11.0,1.0,18d580ac-c91a-4b6d-aa75-ab62566f713e,lyft_plus,Lyft XL,November 27 2018,North Station,43.05,0.81,990.82,,0.72,8.31
20,0.72,Lyft,1543346302541,Haymarket Square,North Station,16.5,1.0,3ef5c509-f292-42ef-b39c-bce7059006a0,lyft_lux,Lux Black,November 27 2018,North Station,43.31,0.8,990.8,0.0023,0.71,8.36
21,0.72,Lyft,1545132905654,Haymarket Square,North Station,7.0,1.0,5ef44fdf-c5d3-4d07-967a-a8710e537e74,lyft,Lyft,November 27 2018,North Station,43.05,0.8,990.8,,0.72,8.34
22,0.72,Lyft,1543544884042,Haymarket Square,North Station,3.5,1.0,a7c1afce-9781-41c9-b6a6-df109ad43ccd,lyft_line,Shared,November 27 2018,North Station,41.89,0.81,991.64,,0.74,10.88
23,0.72,Lyft,1544978406463,Haymarket Square,North Station,26.0,1.0,d0782aae-4cfa-45df-b6e4-e300b09c2563,lyft_luxsuv,Lux Black XL,November 26 2018,North Station,43.92,1.0,1006.29,0.0409,0.9,10.09
24,0.72,Lyft,1543218371798,Haymarket Square,North Station,13.5,1.0,f4f03d2d-434b-41f3-935a-c29e3f2de8bd,lyft_premier,Lux,November 26 2018,North Station,43.87,1.0,1006.24,0.0284,0.91,9.74
25,2.48,Uber,1545079209832,South Station,Beacon Hill,8.5,1.0,1d451059-895c-4179-8cec-40adfbc4f6d3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,November 28 2018,Beacon Hill,39.23,0.83,996.09,,0.66,10.67
26,2.48,Uber,1544931613778,South Station,Beacon Hill,15.0,1.0,1f64fcff-b01f-4b64-90f4-5c866d717317,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,November 28 2018,Beacon Hill,39.18,0.83,996.08,,0.67,10.69
27,2.48,Uber,1543324882052,South Station,Beacon Hill,20.5,1.0,2ca4699c-21e1-4fb4-9cc2-1d6221199d08,6c84fd89-3f11-4782-9b50-97c468b19529,Black,November 28 2018,Beacon Hill,39.23,0.83,996.11,,0.66,10.53
